TaskVariableName,Tier,TaskName,TaskDuration,Frequency,MinNumPeopleNeeded,Importance,GenderReq,Window,TimePreferred,EarliestStart,DueBy,StartTime,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,StartTime7,ScheduledOccurance,OccursEveryNDays,SpawnSunday,SpawnMonday,SpawnTuesday,SpawnWensday,SpawnThursday,SpawnFriday,SpawnSaturday,AutoSchedule,TaskCost,Category,PreAssignedTo,AntiCoCounselorConcurrent,AntiSequential,AtLeastOncePerPerson
SEE JESUS,2,SEE JESUS,1,userInput,1,,,Yes,,10:00am,5:30pm,10:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
MAIL,2,MAIL,1,2,2,,,,,10:00am,,10:00am,11:00am,idk,idk,,,,No,,,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
TEMP LOG,3,TEMP LOG,1,1,1,,,,userInput,userInput,userInput,userInput,,,,,,,Yes,idk,No,Depends,Depends,Depends,Depends,Depends,No,True,,,,,,
SEE HOSPITALITY CORD,3,SEE HOSPITALITY CORD,1,userInput,userInput,,,,userInput,userInput,userInput,userInput,userInput,userInput,,,,,No,,Depends,Depends,Depends,Depends,Depends,Depends,Depends,True,,,,,,
WATER FLOWERS,3,WATER FLOWERS,1,1,1,,,,userInput,userInput,userInput,userInput,,,,,,,Yes,idk,Depends,Depends,Depends,Depends,Depends,Depends,Depends,True,,,,,,
FLAG UP,4,FLAG UP,1,unassigned_employees,unassigned_employees,,,,,,,9:50am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,IDK,True,,,,,,
BLOB,1,BLOB,1,1,1,,,,,,,10:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,True,,,,,,
SERVE DISH,2,SERVE/DISH,1,3,7,,,,,,,,,,,,,,No,,ChangeFreq/Depends,Depends,Depends,ChangeFreq/Depends,Depends,Depends,No,True,,,,,,
UNUSED,5,UserInput,1,remainder_of_unassigned_slots,unassigned_employees,,,,,,,,,,,,,,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,True,,,,,,
MenMeeting,1,MenMeeting,1,1,allMales,,Male,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,True,,,,,,
OIX,1,OIX,1,1,allMales,,Female,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,True,,,,,,
WATERVILBOHELP,2,WaterVilbo,1,1,2,,,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,True,,,,,,
BRANCHVILBOHELP,2,BranchVilbo,1,1,2,,,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,True,,,,,,
FIREVILBOHELP,2,FireVilbo,1,1,2,,,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,True,,,,,,
RODEOHELP,1,Rodeo,userInput,1,idk (userInput),,,,,,,idk,,,,,,,No,,No,No,No,No,No,Yes,No,True,,,,,,
SEE X,,UserInput,userInput,userInput,userInput,,,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,,No,,upToUser,Depends,Depends,Depends,Depends,Depends,Depends,True,,,,,,
SWEETING,1,SWEETING,1,1,unassigned_employees,,,,,,,8:00pm,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,True,,,,,,
