TaskVariableName,Tier,TaskName,TaskDuration,Frequency,MinNumPeopleNeeded,Importance,GenderSpecific,GenderReq,Window,TimePreferred,EarliestStart,DueBy,StartTime,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,StartTimeSpecial,ScheduledOccurance,OccursEveryNDays,SpawnSunday,SpawnMonday,SpawnTuesday,SpawnWensday,SpawnThursday,SpawnFriday,SpawnSaturday,WillSpawnTodayChosen,SpecialCircumstanceSpawn,CircumstanceSpawn,TaskCost,Category,PreAssignedTo
MAIL,2,MAIL,1,2,2,,No,,,,10:00am,,10:00am,11:00am,idk,idk,,,,No,,,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
TEMP LOG,3,TEMP LOG,1,1,1,,No,,,userInput,userInput,userInput,userInput,,,,,,,Yes,idk,No,Depends,Depends,Depends,Depends,Depends,No,upToUser,No,,,,
SEE HOSPITALITY CORD,3,SEE HOSPITALITY CORD,1,userInput,userInput,,No,,,userInput,userInput,userInput,userInput,userInput,userInput,,,,,No,,Depends,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,,
WATER FLOWERS,3,WATER FLOWERS,1,1,1,,No,,,userInput,userInput,userInput,userInput,,,,,,,Yes,idk,Depends,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,,
FLAG UP,4,FLAG UP,1,unassigned_employees,unassigned_employees,,No,,,,,,9:50am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,IDK,auto,No,,,,
BLOB,1,BLOB,1,1,1,,No,,,,,,10:00am,,,,,,,No,,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,,
SERVE DISH,2,SERVE/DISH,1,3,7,,No,,,,,,,,,,,,,No,,ChangeFreq/Depends,Depends,Depends,ChangeFreq/Depends,Depends,Depends,No,upToUser,Yes,"If totalEmployees less than 17, (resulting in DH < 4 people), then assign people to Serve/Dish to save time",,,
UNUSED,5,UserInput,1,remainder_of_unassigned_slots,unassigned_employees,,No,,,,,,,,,,,,,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,upToUser,No,,,,
MenMeeting,1,MenMeeting,1,1,allMales,,Yes,Male,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,auto,No,,,,
OIX,1,OIX,1,1,allMales,,Yes,Female,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,auto,No,,,,
WATERVILBOHELP,2,WaterVilbo,1,1,2,,No,,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,upToUser,No,,,,
BRANCHVILBOHELP,2,BranchVilbo,1,1,2,,No,,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,upToUser,No,,,,
FIREVILBOHELP,2,FireVilbo,1,1,2,,No,,,,,,,,,,,,,No,,No,IDK,IDK,IDK,IDK,No,No,upToUser,No,,,,
RODEOHELP,1,Rodeo,userInput,1,idk (userInput),,No,,,,,,idk,,,,,,,No,,No,No,No,No,No,Yes,No,auto,No,,,,
SEE X,,UserInput,userInput,userInput,userInput,,No,,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,,No,,upToUser,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,,
SWEETING,1,SWEETING,1,1,unassigned_employees,,No,,,,,,8:00pm,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,auto,,,,,
