TaskVariableName,TaskVariableName2,Tier,TaskName,TaskDuration,Frequency,MinNumPeopleNeeded,Importance,GenderSpecific,GenderReq,PrefTime,TimePreferred,NotBeforeTime,NotAfterTime,StartTime,StartTime2,StartTime3,StartTime4,StartTime5,StartTime6,StartTimeSpecial,ScheduledOccurance,OccursEveryNDays,BasicPackage,ExtendedPackage,KSWAT,SpawnSunday,SpawnMonday,SpawnTuesday,SpawnWensday,SpawnThursday,SpawnFriday,SpawnSaturday,WillSpawnTodayChosen,SpecialCircumstanceSpawn,CircumstanceSpawn,TaskCost,OverlapProblemTaskCostOffsetter,Recommended
HALF STAFF,HALF STAFF,4,HALF STAFF,1,1,unassigned_employees,,No,,No,,,,9:15am,,,,,,,No,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,0,
WATER RUN,WATER RUN,1,WATER RUN,1,2,2,,No,,No,,,,7:00am,1:45am,,,,,,No,,,,No,ChangeFreq,Yes,Yes,Yes,Yes,Yes,Change Freq,auto,No,,,0,
SEE EAGLE,SEE EAGLE,2,SEE EAGLE,userInput,userInput,userInput,,No,,No,,,,userInput,userInput,userInput,userInput,,,,No,,,,No,Depends,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,0,
SEE JESUS,SEE JESUS,2,SEE JESUS,1,sum of timeslots btwn breakfast and lunch or lunch and dinner,1,,No,,No,,,,,,,,,,,No,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,0,
MAIL,MAIL,2,MAIL,1,2,2,,No,,No,,,,idk,idk,idk,idk,,,,No,,,,No,,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,0,
TEMP LOG,TEMP LOG,3,TEMP LOG,1,1,1,,No,,No,userInput,userInput,userInput,userInput,,,,,,,Yes,idk,,,No,No,Depends,Depends,Depends,Depends,Depends,No,upToUser,No,,,0,systemDecision
SEE HOSPITALITY CORD,SEE HOSPITALITY CORD,3,SEE HOSPITALITY CORD,1,userInput,userInput,,No,,No,userInput,userInput,userInput,userInput,userInput,userInput,,,,,No,,,,No,Depends,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,0,
WATER FLOWERS,WATER FLOWERS,3,WATER FLOWERS,1,1,1,,No,,No,userInput,userInput,userInput,userInput,,,,,,,Yes,idk,,,No,Depends,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,0,systemDecision
FLAG UP,FLAG UP,4,FLAG UP,1,unassigned_employeess,unassigned_employees,,No,,No,,,,9:50am,,,,,,,No,,,,No,No,Yes,Yes,Yes,Yes,Yes,IDK,auto,No,,,0,
BLOB,BLOB,1,BLOB,1,1,1,,No,,No,,,,,,,,,,,No,,,,No,No,Yes,Yes,Yes,Yes,Yes,No,auto,No,,,0,
SERVE DISH,SERVE DISH,2,SERVE/DISH,1,3,7,,No,,No,,,,,,,,,,,No,,,,No,ChangeFreq/Depends,Depends,Depends,ChangeFreq/Depends,Depends,Depends,No,upToUser,Yes,"If totalEmployees less than 17, (resulting in DH < 4 people), then assign people to Serve/Dish to save time",,0,
UNUSED,UNUSED,5,UserInput,1,remainder_of_unassigned_slots,unassigned_employeess,,No,,No,,,,,,,,,,,No,,,,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,upToUser,No,,,0,
MenMeeting,MenMeeting,0.5,MenMeeting,1,1,allMales,,Yes,Male,No,,,,,,,,,,,No,,,,No,No,IDK,IDK,IDK,IDK,No,No,auto,No,,,0,
OIX,OIX,0.5,OIX,1,1,allMales,,Yes,Female,No,,,,,,,,,,,No,,,,No,No,IDK,IDK,IDK,IDK,No,No,auto,No,,,0,
WATERVILBOHELP,WATERVILBOHELP,2,WaterVilbo,1,1,2,,No,,No,,,,,,,,,,,No,,,,No,No,IDK,IDK,IDK,IDK,No,No,upToUser,No,,,0,
BRANCHVILBOHELP,BRANCHVILBOHELP,2,BranchVilbo,1,1,2,,No,,No,,,,,,,,,,,No,,,,No,No,IDK,IDK,IDK,IDK,No,No,upToUser,No,,,0,
FIREVILBOHELP,FIREVILBOHELP,2,FireVilbo,1,1,2,,No,,No,,,,,,,,,,,No,,,,No,No,IDK,IDK,IDK,IDK,No,No,upToUser,No,,,0,
RODEOHELP,RODEOHELP,1,Rodeo,userInput,1,idk (userInput),,No,,No,,,,idk,,,,,,,No,,,,No,No,No,No,No,No,Yes,No,auto,No,,,0,
SEE X,SEE X,,UserInput,userInput,userInput,userInput,,No,,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,userInput,,No,,,,,upToUser,Depends,Depends,Depends,Depends,Depends,Depends,upToUser,No,,,,
